New,title,"my lable",owned,Trade,Manufacturer,Part,"Label ID","Alt ID 1","Alt ID 2","Alt ID 3",Type,Family,Sub-Family,sub-family2,sub-family3,Core,CPUID,"Instruction set","IS Ext","Instruction link","Computer architecture",ISA,Microarchitecture,"Designer of Core",Clone,Cores,Pipeline,Multiprocessing,Architecture,"Bus Width","Address Width",Speed,"Bus speed","Bus type","Clock multiplier",FPU,GPU,DSP,"L1 cache","L1 shared","L1 data","L1 instruction","L2 cache","L3 cache","ROM Int","ROM type","RAM Int","RAM Max","RAM type",Package,"Package Size",Socket,Transistors,"Process Size",Technology,"Die Size",Vcc,"Vcc range",Vcore,"Vcc (I/O)","V(I/O) secondary","V(I/O) tertiary","Power min","Power typ","Power max",TDP,"Low power modes",Grade,"Date Introduced",Year,"Initial price",Applications,Features,Tags,Rarity,Description,"Photo 1","Photo 2","Photo 3","Photo 4","Photo 5","Photo die","Photo die license",Datasheet,"Reference 1","Reference 2","Reference 3","Reference 4","Reference 5",blank
,,,1,X,Motorola,MC9S12DP256BMPV,,,,,MCU,HCS12,,,,,,,,,,,,Motorola,No,1,,,16,,,25MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,256K,flash,12K,,,LQFP-112,,NA,,,CMOS,,2.35-5.25V,,,,,,,,,,,,,,,"Embedded systems","ADC, CAN, I2C, SCI, SPI, PWM, WDT",,,,,,,,,,,datasheet-Freescale-MC9S12DP256B-MC9S12DT256C-MC9S12DJ256C-MC9S12DG256C-MC9S12DT256B-MC9S12DJ256B-MC9S12DG256B-MC9S12A256B.pdf,,,,,,
,,,1,x,Motorola,MC14500BCL,,,,,MCU,MC14500B,,,,,,,,,,,,Motorola,No,1,,,1,,,1MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,"Skinny PDIP-16","19mm x 9mm",DIP,,,CMOS,,3-18V,,,,,,,,,,,,,,,,,,,,,,,,,,,datasheet-Motorola--MC14500B.pdf,,,,,,
,,MS,1,X,Motorola,MPC603EFE100LN,,,,,CPU,PowerPC,603e,,,"PowerPC 603e",,,,,RISC,PowerPC,,,No,1,,,32,,,100MHz,,,,NA,NA,,NA,NA,NA,NA,,,NA,NA,NA,,,CQFP-240,,NA,,,CMOS,,3.3V,,,,,,,,,,,,,,,"Desktop computers",,,,"power PC 603e RISC microprocessor family",ic-photo-Motorola--MRC603EFE100LN-(MCU).png,,,,,,,,,,,,,
,,OM,1,X,Motorola,XC7445ARX867WF,,,,,CPU,PowerPC,7400,7445,,"Apollo 6",,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,,867MHz,,,,integrated,none,,32k/32k,,32k,32k,256k,2M,NA,NA,NA,,,CBGA-360,"25mm x 25mm",NA,33M,0.18u,HiPerMOS,106mm^2,,,,1.8/2.5/1.5V,,,,,19W,,,,2002,2002,,,,,,,ic-photo-Motorola--XC7445ARX867WF--(PowerPC-CPU).JPG,,,,,,,datasheet-Freescale-MPC7455.pdf,,,,,,
,,,1,x,Motorola,XPC7400RX450PK,,,,,CPU,PowerPC,7400,,,,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,450MHz,,,,integrated,none,,32k/32k,,32k,32k,2M,none,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,,,CMOS,,2V,,,,,,0.5W,5.9W,13.2W,,,,,,,"Desktop computers","MMU, L2 cache controller, JTAG",,,,,,,,,,,datasheet-Motorola-MPC7410_MPC7400-PowerPC.pdf,,,,,,
,,,1,x,Motorola,XPC7400RX500PK,,,,,CPU,PowerPC,7400,,,,,,,,,PowerPC,,,No,1,,,32,,,500MHz,,,,integrated,none,,32k/32k,,32k,32k,"ext 512k to 2M",,NA,NA,NA,,,CBGA-360,"25mm x 25mm",NA,10.5M,"0.2u Cu",HiPerMOS6,83mm^2,,,,,,,,,,,,,1999,1999,,"Desktop computers",,,,,,,,,,,,,,,,,,
,,,1,x,Motorola,XPC7400RX500SK,,,,,CPU,PowerPC,7400,,,,,,,,,PowerPC,,,No,1,,,32,,,500MHz,,,,integrated,none,,32k/32k,,32k,32k,"ext 512k to 2M",,NA,NA,NA,,,CBGA-360,"25mm x 25mm",NA,10.5M,"0.2u Cu",HiPerMOS6,83mm^2,,,,,,,,,,,,,1999,1999,,"Desktop computers",,,,,,,,,,,,,,,,,,
,,,1,X,Motorola,XPC7410RX533PD,,,,,CPU,PowerPC,7400,7410,,,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,533MHz,,,,integrated,none,,32k/32k,,32k,32k,2M,none,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,,,CMOS,,2.0V±50mV,,,,,,0.5W,6.9W,15.6W,,,,,,,"Desktop computers","MMU, L2 cache controller, JTAG",,,,,,,,,,,datasheet-Motorola-MPC7410_MPC7400-PowerPC.pdf,,,,,,
,,,1,x,Motorola,XPC7450RX733QE,,,,,CPU,PowerPC,7400,7450,,Voyager,,,,,,PowerPC,,,No,1,7,,32,,,733MHz,,,,integrated,none,,32k/32k,,32k,32k,256k,"2MiB (ext)",NA,NA,NA,,,CBGA-360,"25mm x 25mm",NA,33m,0.18u,HiPerMOS,106mm^2,1.9V,,,,,,"1.2W sleep mode",22.5W,32.4W,,,0-65C,2001,2001,,"Desktop computers",,,,,,,,,,,,,,,,,,
,,,1,x,Motorola,XPC7450RX800QE,,,,,CPU,PowerPC,7400,7450,,,,,,,,PowerPC,,,No,1,,,32,,,800MHz,,,,integrated,none,,32k/32k,,32k,32k,256k,,NA,NA,NA,,,CBGA-360,"25mm x 25mm",NA,33m,0.18u,HiPerMOS,106mm^2,1.9V,,,,,,"1.3W sleep mode",24.6W,35.3W,,,0-65C,2001,2001,,"Desktop computers",,,,,,,,,,,,,,,,,,
NEW,,,1,X,Motorola,XPC750ARX233LD,,,,,CPU,PowerPC,750,A,,MPC750A,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,233MHz,,60x,,integrated,none,,32k/32k,,32k,32k,"Ext 256KiB – 1MiB",,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.25u 5L",CMOS,67mm2,2.6V,"+/- 100mV",2.6V,3.3V,,,"0.3mW (Sleep mode)",5W,7W,,,,,,,"Desktop computers",,,,"Used in Macintosh G3 products",,,,,,,,datasheet-Motorola-MPC750A.pdf,,,,,,
,,GW,1,X,Motorola,XPC750ARX233PE,,,,,CPU,PowerPC,750,A,,MPC750A,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,233MHz,66MHz,60x,,integrated,none,,32k/32k,,32k,32k,"Ext 256KiB – 1MiB",none,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.25u 5L",CMOS,67mm2,2.6V,"+/- 100mV",2.6V,3.3V,,,"0.3mW (Sleep mode)",5W,7W,,,,1997,1997,,"Desktop computers",,,,"Used in Macintosh G3 products",ic-photo-Motorola--XPC750ARX233PE--(PowerPC-CPU).png,,,,,,,datasheet-Motorola-MPC750A.pdf,,,,,,
,,,1,X,Motorola,XPC750ARX233SE,,,,,CPU,PowerPC,750,A,,MPC750A,,,,,RISC,PowerPC,,Motorola,No,1,,,32,,32,233MHz,66MHz,60x,,integrated,none,,32k/32k,,32k,32k,"Ext 256KiB – 1MiB",none,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.25u 5L",CMOS,67mm2,2.6V,"+/- 100mV",2.6V,3.3V,,,"0.3mW (Sleep mode)",5W,7W,,,,1997,1997,,"Desktop computers",,,,"Used in Macintosh G3 products",ic-photo-Motorola--XPC750ARC233SE--(PowerPC-750-CPU).JPG,,,,,,,datasheet-Motorola-MPC750A.pdf,,,,,,
NEW,,,1,X,Motorola,XPC750PRX333PB,,,,,CPU,PowerPC,750,P,,XPC750P,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,333MHz,,60x,,integrated,none,,32k/32k,,32k,32k,,,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.19u 5L",CMOS,67mm2,1.9V,"+/- 100mV",1.9V,3.3V,,,"0.665mW (Sleep mode)",4.2W,6W,,,0-127C,,,,"Desktop computers",,,,"Used in Macintosh G3 products",,,,,,,,datasheet-Motorola-XPC750P.pdf,,,,,,
,,"cpu module",1,X,Motorola,XPC750PRX333SE,,,,,CPU,PowerPC,750,P,,XPC750P,,,,,RISC,PowerPC,,Motorola,No,1,,,32,,,333MHz,66MHz,60x,,integrated,none,,32k/32k,,32k,32k,ext,none,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.19u 5L",CMOS,67mm2,1.9V,"+/- 100mV",1.9V,3.3V,,,"0.665mW (Sleep mode)",4.2W,6W,,,0-127C,1999,1999,,"Desktop computers",,,,"Used in Macintosh G3 products",ic-photo-Motorola--XPC750PRX333SE--(PowerPC-CPU).png,,,,,,,datasheet-Motorola-XPC750P.pdf,,,,,,
NEW,,,1,X,Motorola,XPC750PRX350PE,,,,,CPU,PowerPC,750,P,,XPC750P,,,,,RISC,PowerPC,,Motorola,No,1,,,32,64,32,350MHz,,60x,,integrated,none,,32k/32k,,32k,32k,,,NA,NA,NA,4G,,CBGA-360,"25mm x 25mm",NA,6.35M,"0.19u 5L",CMOS,67mm2,1.9V,"+/- 100mV",1.9V,3.3V,,,,,,,,0-127C,,,,"Desktop computers",,,,"Used in Macintosh G3 products",,,,,,,,datasheet-Motorola-XPC750P.pdf,,,,,,
,,,1,x,Motorola,XPC860PZP50D4,,,,,MCU,PowerQUICC,,,,MCP8xx,,,,,,PowerPC,,Motorola,No,1,,,32,8/16/32,32,80Mhz,,,,,NA,NA,,,4-8k,4-16k,,,,,,,,BGA-357,,NA,,,,,3.3V,,,,,,,,,,"sleep, deep sleep, power down",,,,,Networking,"PCMCIA, glueless memory controller, ethernet, ATM, serial, I2C, SPI, PIP",,,,,,,,,,,datasheet-motoroloa-mpc860.pdf,https://www.experimental-engineering.co.uk/2016/02/24/ic-decap-motorola-xpc860pzp50d4-communications-controller/,,,,,
,,,1,x,"National Semiconductor",INS8080AN,,,,,CPU,8080,,,,,,,,,,,,,Yes,1,,,8,8,16,2MHz,,,,none,none,,none,none,none,none,NA,NA,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,,,NMOS,,5/12/-5V,,,,,,,,,,,,1977,1977,,,,,,,,,,,,,,datasheet-National_Semiconductor-INS8080A.pdf,,,,,,
NEW,,,1,x,"National Semiconductor","IDM2901A-1 NC",,,,,BSP,Am2900,,,,,,AM2901,,,,AM2901,,AMD,"AMD AM2901",1,,yes,4,4,2x4bit,16Mhz,,,,none,none,none,none,none,none,none,none,none,none,none,16x4b,,,PDIP-40,,DIP-40,,,,,5V,"5 +/- 5%",,5V,,,,,,,,Commercial,,,,,,,,,,,,,,,,datasheet-National_Semiconductor-IDM2901A-1.pdf,,,,,,
,,CI,1,X,"National Semiconductor",GX1-333B-85-2.2,,,,,CPU,Geode,,,,GX1,,,,,CISC,x86,,,,1,,,32,64,32,333MHz,33MHz,,,integrated,none,,16k,,,,none,none,NA,NA,NA,512M,,EBGA-352,,NA,,0.18u,"CMOS 4L",,2.2V,,,,,,,,,,,,,,,,"Display, sound controller, 2D graphics accelerator, SDRAM controller",,,.,ic-photo-National-Semiconductor--Geode-GX1-333B-85-2.2-(Geode-CPU).png,,,,,,,datasheet-National-Semiconductor-GX1-Family.pdf,,,,,,
,,LX,1,X,"National Semiconductor",NS32016N-10,,,,,CPU,NS32000,,,,NS32016,,,,,,,,"National Semi",,1,,,32,16,24,10MHz,,,,NA,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,,,PDIP-48,"2.4in x 0.6in",DIP,,,XMOS,,5V,,,,,,,,1.58W,,,,1983,1983,,,,,,,ic-photo-National-Semiconductor--NS32016N-10.JPG,,,,,,,,,,,,,
NEW,,,1,x,"National Semiconductor",NSC800N-3I,,,,,CPU,Z80,NSC800,,,,,,,,,,,,"Zilog Z80",1,,,6,6,16,2.5Mhz,,,,none,none,none,none,none,none,none,none,none,none,none,none,64k,,PDIP-40,,DIP-40,,,,,2.4-6V,2.4-6V,,,,,50mW,,1W,,,Industrial,,,,"Embedded systems","DRAM refresh circuitry, INT, ",,,,,,,,,,,datasheet-National_Semiconductor-NSC800.pdf,,,,,,
,,,1,x,NCR,65C02C,,,,,CPU,6500,,,,65C02,,,,,,,,,Yes,1,,,8,8,16,4MHz,4MHz,,,NA,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,5V,,,5V,,,,,,,,,,,,"Desktop computers",,,,,,,,,,,,,,,,,,
,,NA,1,X,NEC,D8085AC,,,,,CPU,8085,,,,,,8085,,,"von Neumann",,,,Yes,1,,,8,8,16,3MHz,3MHz,,,NA,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,,3.0u,NMOS,,5V,,,5V,,,,,0.85W,,,,1978,1978,,"Desktop computers","CLK generator, System controller, Serial in/serial out port",,,,ic-photo-NEC--D8085AC--(8085-CPU).JPG,,,,,,,,,,,,,
,,EH,1,X,NEC,D8086D-2,,,,,CPU,8086,,,,,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,16,20,8MHz,8MHz,,,"ext (8087)",none,,none,,,,none,none,NA,NA,NA,1M,,CDIP-40,"52mm x 16mm",DIP,,,NMOS,,5V,,,5V,,,,,,,,,1981,1981,,,,,,,ic-photo-NEC--D8086D-2--(8086-CPU).png,,,,,,,,,,,,,
,,LU,1,X,NEC,D8088D,,,,,CPU,8088,,,,,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,Yes,1,,,16,8,20,5MHz,5MHz,,,"ext (8087)",none,,none,,,,none,none,NA,NA,NA,1M,,CDIP-40,"52mm x 16mm",DIP,29k,3u,NMOS,33mm^2,5V,,,5V,,,,,,,,,1982,1982,,,,,,,ic-photo-NEC--D8088D--(8088-CPU).png,,,,,,,,,,,,,
,,FR,1,X,NEC,uPD7810G,D7810G,,,,MCU,78K,,,,uPD7810,,,,,,,,,,1,,,8,8,16,12MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,4k,,256B,64k,,QUIP-64,,,,,NMOS,,5V,,,,,,,,,,,,,,,"Embedded systems",,,0,,ic-photo-NEC--D7810G-(MCU).png,,,,,,,datasheet-NEC-uPD7810_uPD7811.pdf,,,,,,
,,FS,1,X,NEC,uPD78312AGQ,D78312AGQ,,,,MCU,78K,,,,uPD78312,,,,,,,,,,1,,,8,8,16,12MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,8k,,256B,64k,,QUIP-64,,,,,CMOS,,5V,,,,,,,,,,,,,,,"Embedded systems",,,0,,ic-photo-NEC--D78312AGQ.png,,,,,,,datasheet-NEC-uPD78310_uPD78312.pdf,,,,,,
,,FT,1,X,NEC,uPD78C12AGQ,D78C12AGQ,,,,MCU,78K,,,,uPD78C12A,,,,,,,,,,1,,,8,8,16,4-15MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,8k,,256B,64k,,QUIP-64,,,,,CMOS,,5V,,,,,,,,,,,,,,,"Embedded systems",,,0,.,ic-photo-NEC--D78C12AGQ.png,,,,,,,datasheet-NEC-uPD78C10A-78C11A-78C12A.pdf,,,,,,
,,,1,x,NEC,μPD78F9418ACG,F9418ACG,,,,MCU,78K,78K/0S,,,78K/0S,,,,,,,,NEC,no,1,,,8,,,5Mhz,,,,none,none,none,none,none,none,none,none,none,32k,Flash,512B,64k,,QFP-80,"14 x 14 mm2",NA,,,CMOS,,,1.8-5.5V,,,,,,,,,,"−40 to +85°C",,,,Embedded,"serial, LCD, ADC, timer/counter",,,,,,,,,,,datasheet-NEC-PD789407A-789417A.pdf,,,,,,
,,,1,X,NEC,8048HCS541,,,,,MCU,MCS-48,8048,,,,,,,,,,,,Yes,1,,,8,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,1k,ROM,64B,,,PDIP-40,"52mm x 16mm",DIP,,,,,,,,,,,,,,,,,,,,"Embedded systems",,,,,ic-photo-NEC--8048HC541--(8048-MCU).JPG,,,,,,,,,,,,,
,,LP,1,X,NEC,D30700RS-200,,,,,CPU,R10000,,,,,,,,,RISC,"MIPS IV",,,,1,,,64,64,64,200MHz,,,,integrated,none,,32k/32k,,32k,32k,"512K-16M ext",,NA,NA,NA,64G,,CLGA-599,,,6.9M,0.25u,CMOS,306mm^2,3.3V,,,,,,,,30W,,,,,,,"Servers, workstations",,,,.,ic-photo-NEC--D30700RS-200--(R10000-CPU).png,,,,,,,,,,,,,
,,LQ,1,X,NEC,D30710RS-275,,,,,CPU,R12000,,,,,,,,,RISC,"MIPS IV",,,,1,,,64,64,64,275MHz,,,,,none,,32k/32k,,32k,32k,"8M ext",,NA,NA,NA,,,CLGA-599,,,6.9M,"0.25u 4 Al layer",CMOS,229mm^2,2.6V,,,,,,,,,,,,1999,1999,,"Servers, workstations",,,,.,ic-photo-NEC--D30710RS-275--(R12000-CPU).png,,,,,,,,,,,,,
,,"EJ,EL",1,X,NEC,uPD70108D,D70108D,,,,CPU,V20,,,,,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,"x86 based",1,,,16,8,20,10MHz,,,,,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,,,CDIP-40,"52mm x 16mm",DIP,63k,,CMOS,,5V,,,,,,,,,,,,1984,1984,,"Embedded systems",,,,"V20 – pin compatiable to Intel 8088",ic-photo-NEC--D70108D-(V20-CPU).png,,,,,,,datasheet-NEC-uPD70108.pdf,,,,,,
,,EK,1,X,NEC,uPD70108D-8,D70108D-8,,,,CPU,V20,,,,,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,,"x86 based",1,,,16,8,20,8MHz,,,,,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,,,CDIP-40,"52mm x 16mm",DIP,63k,,CMOS,,5V,,,,,,,,,,,,1984,1984,,"Embedded systems",,,,"V20 – pin compatiable to Intel 8088",ic-photo-NEC--D70108D-8-(V20-CPU).png,,,,,,,datasheet-NEC-uPD70108.pdf,,,,,,
NEW,,OR,1,x,NEC,uPD70116GC-10,D7116GC-10,,,,CPU,V30,,,,,,,,,,,,,"x86 based",1,,,16,16,30,10Mhz,,,,none,none,none,none,none,none,none,none,none,none,none,none,1M,,PQFP-52,,NA,,,CMOS,,5V,"5 +/- 5%",,5V,,,0.035,0.3W,0.5W,,"Standby mode",Commercial,,,,"Embedded systems",,,,,,,,,,,,datasheet-NEC-uPD70116.pdf,,,,,,
,,,1,X,NEC,uPD70208L-8,D70208L-8,,,,CPU,V40,,,,,,80188,,,,,,,"x86 based",1,,,16,8,,8MHz,,,,"ext (uPD72191)",none,,none,,,,none,none,NA,NA,NA,1MiB,,PLCC-68,"25mm x 25mm",PLCC,,,CMOS,,5V,,,,,,,,0.45W,,,,,,,"Embedded systems","CLK generator, bus interface, bus arbitration, programmable WSG, DRAM refresh control, 3 16-bit CTC, asynchronous serial I/O output, 8-input INTC, 4-channel DMA control",,,,,,,,,,,,,,,,,
,,,1,x,NEC,uPD7503G,,,,,MCU,,,,,uPD7503,,,,,,,,NEC,,1,,,4,,,410kHz,,,,NA,none,,NA,,,,NA,NA,4k,,224x4b,,,PQFP-64,"17mm x 17mm",NA,,,CMOS,,2.5-6V,,,,,,,,4.5mW,,,,,,,"Embedded systems","LCD controller, serial, CTC, INTC",,0,,,,,,,,,datasheet-NEC-uPD7502-uPD7503.pdf,,,,,,
,,N3,1,X,NEC,uPD75316GF-303,"D75316GF 303",,,,MCU,,,,,uPD75316,,,,,,,,,,1,,,4,4,16,4.19MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,16k,,512nibbles,,,PQFP-80,,NA,,,CMOS,,2.7-6V,,,,,,,,,,,,,,,"Embedded systems","LCD controller, serial, timers",,0,,,,,,,,,datasheet-NEC-uPD75316-Family.pdf,,,,,,
,,CALCULATOR,1,X,NEC,uPD977C,,,,,Calculator,,,,,,,NA,,NA,NA,NA,NA,,,1,,,,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DIP,,DIP,,,,,,,,,,,,,,,,,,,,Calculators,,,0,,ic-photo-NEC--uPD977C-(ALU).png,,,,,,,,,,,,,
,,ON-BOARD,1,X,Nintendo,"DMG CPU B",,,,,CPU,Gameboy,,,,"Z80 based",,Gameboy,,,,Z80,,Sharp,,1,,,8,8,,4.19MHz,,,,none,none,,none,none,none,none,none,none,NA,NA,NA,,,P-LQFP-80,,NA,,,,,5V,,,,,,,,,,,,1989,1989,,"Video game systems",,,0,"Nintendo Gameboy, Sharp",ic-photo-Nintendo--DMG-CPU_B--(Gameboy-CPU).png,,,,,,,,,,,,,
,,,1,x,Nintendo,"CPU AGB B",,,,,SoC,"Gameboy Advanced",ARMv7,,,"ARM7TDM and LR35902 co-processor",,,,"ARMv4 + Thumb",,ARM,,"Sharp + ARM",no,1,,,32,16,"16b shared",16.78MHz,,,,integrated,,,,,,,,,16k,,32k,256k,DRAM,QFP,,NA,,,CMOS,,,,,,,,,,,,,,2003,2003,,"Video game systems","LCD, Sound, SIO, Game Pak interface, INTC, BG processor, OBJ processor, DMAC, timer, Key control",,0,,,,,,,,,"datasheet-Nintendo-AGB-Gameboy Advance Programming Manual v1.1.pdf",,,,,,
,,IH,1,X,Nintendo,CPU-NUS,,,,,CPU,"Nintendo 64",,,,VR4300,,,,,RISC,MIPS,,NEC,,1,,,64,64,64,93.75MHz,,,,,,,32k,,,,none,none,NA,NA,NA,,,PQFP,,NA,4.6M,0.35u,,,,,,,,,,,,,,,,,,"Video game systems",,,0,"NINTENDO 64, CPU-NUS A",ic-photo-NEC--VR4300-(R4300i)-(Nintendo-64-CPU-NUS_A).png,,,,,,,,,,,,,
,,IH,1,X,Nintendo,RCP-NUS,,,,,PPU,"Nintendo 64",,,,,,,,,,,,SGI,,1,,,64,,,62.5MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PQFP,,NA,,,,,,,,,,,,,,,,,,,,"Video game systems",,,0,"NINTENDO 64, by SGI",ic-photo-SGI--RCP-NUS-(Nintendo-64-PPU).png,,,,,,,,,,,,,
,,"CA, ON-BOARD",2,1,Nintendo,5A22-02,,,,,CPU,"Super Nintendo",,,,65C816,,,,,,6502,,Ricoh,,1,,,16,8,"septerate 8-bit and 24-bit",1.79/2.68/3.58MHz,,,,none,none,,none,none,none,none,none,none,NA,NA,NA,128k,,PQFP,,NA,,,,,,,,,,,,,,,,,,,,"Video game systems","Serial, PIO, INTC, DMA, Multiplication and division registers, two separate address busses for general purpose and APU/PPU",,0,"Super Nintendo CPU based on the 8/16-bit CMD/GTE 65c816, itself a version of the WDC 65C816",ic-photo-Nintendo--S-CPU--(Super-Nintendo-CPU).png,,,,,,,,,,,,,
,,"CA, ON-BOARD",2,1,Nintendo,5C77-01,,,,,PPU,"Super Nintendo",,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PQFP,,NA,,,,,,,,,,,,,,,,,,,,"Video game systems",,,0,"Super Nintendo picture processing unit, by Ricoh",ic-photo-Nintendo--S-PPU1--(Super-Nintendo-GPU).png,,,,,,,,,,,,,
,,"CA, ON-BOARD",2,1,Nintendo,5C78-03,,,,,PPU,"Super Nintendo",,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PQFP,,NA,,,,,,,,,,,,,,,,,,,,"Video game systems",,,0,"Super Nintendo picture processing unit, by Ricoh",ic-photo-Nintendo--S-PPU2_C--(Super-Nintendo-GPU).png,,,,,,,,,,,,,
,,,1,x,Nintendo,Broadway-1,,,,,CPU,Wii,PowerPC,,,"PowerPC 750CL",,"PowerPC ISA 1.10",,,,PowerPC,"PowerPC G3",IBM,no,1,,,32,64,,729MHz,243MHz,,,integrated,,,32k/32k,,32k,32k,256k,,,,,64M,"GDDR3 SDRAM",,"15mm x 15mm",NA,,65nm,"SOI CMOS",,,,,,,,,,,,,,,,,,"BPU, LSU, SRU, MMU, BTIC",,0,,,,,,,,,,,,,,,
,,,,X,Novatek,NT68P61AU,,,,,MCU,6500,,,,6502,,6502,,,"RISC like",6502,,,,1,,,8,8,15,4MHz,,,,NA,NA,,NA,NA,NA,NA,none,none,24k,,256B,,,SDIP-42,,NA,,,CMOS,,5V,,,,,,,,,,,,,,,Audio/Video,"PWM, ADC, Hsync/Vsync signal processor, I2C, WDT",,,,ic-photo-NOVATEK--NT68P61AU--(6502-core-monitor-MCU).JPG,,,,,,,datasheet-Novatek-NT68P61A.pdf,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NB,1,X,OKI,M80C85A-2,,,,,CPU,8085,,,,80C85A,,8085,,,"von Neumann",,,OKI,Yes,1,,,8,8,20,5MHz,5MHz,,,NA,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,64k,,PDIP-40,"52mm x 16mm",DIP,,3.0u,CMOS,,5V,,,,,,,,,,,,1976,1976,,"Embedded systems","CLK generator, Serial",,,,ic-photo-OKI--M80C85A-2--(8085-CPU).JPG,,,,,,,,,,,,,
,,,1,x,OKI,MSM80C85ARS,,,,,CPU,8085,,,,80C85,,,,,,,,,Yes,1,,,8,8,16,3MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,PDIP-40,"52mm x 16mm",DIP,,3u,CMOS,,3-6V,,,5V,,,,,0.11W,,,,,,,"Embedded systems","CLK generator, System controller, Serial in/serial out port",,,,,,,,,,,datasheet-OKI-MSM80C85A-2RS_GS_JS.pdf,,,,,,
,,NC,1,X,OKI,M80C88A-2,,,,,CPU,8088,,,,80C88A,,x86,,http://en.wikipedia.org/wiki/X86_instruction_listings,CISC,x86,,OKI,Yes,1,,,16,8,20,8MHz,8MHz,,,NA,NA,,NA,NA,NA,NA,none,none,NA,NA,NA,1M,,PDIP-40,"52mm x 16mm",DIP,,,CMOS,,5V,,,5V,,,,,,,,,,,,"Embedded systems",,,,,ic-photo-OKI--M80C88A-2--(8088-CPU).JPG,,,,,,,,,,,,,
,,,1,X,OKI,M80C31F,,,,,MCU,MCS-51,8031,,,80C31F,,MCS-51,,,"Modified Harvard",,,OKI,Yes,1,,,8,8,,12MHz,,,,NA,NA,,NA,NA,NA,NA,NA,NA,none,NA,128B,64k,,PQFP-44,"14mm x 14mm",NA,,2.0u,CMOS,,2.5-6V,,,,,,,,,,,,,,,"Embedded systems","CTC, UART, GPIO, CLK generator",,,,ic-photo-OKI--M80C31F--(8031-MCU).JPG,,,,,,,atasheet-OKI--MSM80C31F_51F.pdf,,,,,,
NEW,,,1,x,Oracle,"SME 1914 LGA",,,,,CPU,"SPARC T4",,,,S3,,"SPARC V9",,,,,,,no,8,16,,64,,,,1066MHz(RAM),,,Integrated,,,,,"8x 16k","8x 16k","8x 128k",4M,none,none,,,DDR3,CLGA,,,855M,40nm,CMOS,403mm^2,,,,,,,,,240W,,,,2011,2011,,Server/Workstation,"Ethernet, PCIe, encryption",,,,,,,,,,,datasheet-Oracle-SPARC_T4.pdf,https://en.wikipedia.org/wiki/SPARC_T4,,,,,
